,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Handle (Name),TikTok,Insta,YT,Total followers,Background/Affiliation,Key Content & Audience,Engagement/Interaction,Additional Notes,TikTok account,Insta account,YT account,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
"Lynn Hazan-Bush lynnhazan_
",15100,28400,0,43500,Proud Israeli-American. Was featured on News 12 as blogger who resonated with many mothers and families,"local businesses, motherhood, some Zionist/Israel/bring back hostages, affordable housing, marriage, lifestyle",high,,https://www.tiktok.com/@lynnhazan?lang=en,https://www.instagram.com/lynnhazan_/?hl=en,,,,,,,,,,,,,,,
Newark Is Now,,"110,000",,110000,"Newark,NJ Culture, News & Events. ℕ𝔼𝕎𝔸ℝ𝕂, ℕ𝕁'𝕊 𝕆𝔽𝔽𝕀ℂ𝕀𝔸𝕃 𝕆ℕ𝕃𝕀ℕ𝔼
ℂ𝕆𝕄𝕄𝕌ℕ𝕀𝕋𝕐 𝔹𝕆𝔸ℝ𝔻","local people, events, elections, info on resources like SNAP",,,,https://www.instagram.com/p/DQmJYSKEWqY/?img_index=1,,,,,,,,,,,,,,,
Keri Fay,539400,360000,6350,905750,"fashion, hair, home in New York and New Jersey","garden, cat, home renovation, backyard, hair, wedding, diet, travel, fashion",,,https://www.tiktok.com/@kerifay,https://www.instagram.com/kerifay/,https://www.youtube.com/channel/UCCbzOhefQ440dp8-T_RfL6w,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,0,,,,,,,,,,,,,,,,,,,,,
